Microsoft Ads	Platform	Ads Platform	Microsoft Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	82	95	177	Microsoft Advertising / Bing Ads			Microsoft Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	Alias/similar tag; suggested canonical mapping: Microsoft Advertising / Bing Ads. | Work/Found Positions signal: 7x, avg fit 93.	
Facebook Ads	Platform	Ads Platform	Facebook Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	76	82	158	Meta Ads			Facebook Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	Alias/similar tag; suggested canonical mapping: Meta Ads. | Work/Found Positions signal: 1x, avg fit 68.	
Large Budgets	Metric	Growth / Performance Metric	Large Budgets metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	78	94	172	Budget Management			Large Budgets metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	Alias/similar tag; suggested canonical mapping: Budget Management. | Work/Found Positions signal: 3x, avg fit 95.	
AI Workflow	Skill	AI / Automation	AI Workflow capability used in performance marketing, analytics, automation, reporting or operations.	67	96	163	AI Workflows			AI Workflow capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: AI Workflows. | Work/Found Positions signal: 2x, avg fit 90.	
GA4	Skill	General	GA4 capability used in performance marketing, analytics, automation, reporting or operations.	57	74	131	Google Analytics 4			GA4 capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Google Analytics 4. | Work/Found Positions signal: 7x, avg fit 89.	
GTM	Skill	General	GTM capability used in performance marketing, analytics, automation, reporting or operations.	54	71	125	Google Tag Manager			GTM capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Google Tag Manager. | Work/Found Positions signal: 4x, avg fit 93.	
Global Markets	Skill	General	Global Markets capability used in performance marketing, analytics, automation, reporting or operations.	53	69	122	International Growth			Global Markets capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: International Growth. | Work/Found Positions signal: 3x, avg fit 94.	
Search	Skill	General	Search capability used in performance marketing, analytics, automation, reporting or operations.	53	69	122	Paid Search			Search capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Paid Search. | Work/Found Positions signal: 3x, avg fit 95.	
Shopping	Skill	General	Shopping capability used in performance marketing, analytics, automation, reporting or operations.	53	69	122	Shopping Campaigns			Shopping capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Shopping Campaigns. | Work/Found Positions signal: 3x, avg fit 95.	
Offline Conversions	Skill	General	Offline Conversions capability used in performance marketing, analytics, automation, reporting or operations.	52	66	118	Offline Conversion Tracking			Offline Conversions capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Offline Conversion Tracking. | Work/Found Positions signal: 2x, avg fit 92.	
Dashboards	Skill	General	Dashboards capability used in performance marketing, analytics, automation, reporting or operations.	51	65	116	Dashboarding			Dashboards capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Dashboarding. | Work/Found Positions signal: 1x, avg fit 93.	
