ALL2 Tag	ALL2 Category	ALL2 Sub category	ALL2 Expirience	ALL2 Job Interest	ALL2 Score	ALL2 Notes	SUGGESTED ACTION
Microsoft Ads	Platform	Ads Platform	82.0	95.0	177.0	Microsoft Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	ADD to All
Facebook Ads	Platform	Ads Platform	76.0	82.0	158.0	Facebook Ads advertising platform or inventory source relevant to paid media planning and campaign execution.	ADD to All
Large Budgets	Metric	Growth / Performance Metric	78.0	94.0	172.0	Large Budgets metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
AI Workflow	Skill	AI / Automation	67.0	96.0	163.0	AI Workflow capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
GA4	Skill	General	57.0	74.0	131.0	GA4 capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
GTM	Skill	General	54.0	71.0	125.0	GTM capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Global Markets	Skill	General	53.0	69.0	122.0	Global Markets capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Search	Skill	General	53.0	69.0	122.0	Search capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Shopping	Skill	General	53.0	69.0	122.0	Shopping capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Offline Conversions	Skill	General	52.0	66.0	118.0	Offline Conversions capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Dashboards	Skill	General	51.0	65.0	116.0	Dashboards capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Bing Search	Skill	General	51.0	64.0	115.0	Bing Search capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Reporting Decks	Skill	General	51.0	64.0	115.0	Reporting Decks capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
SEM	Skill	General	51.0	64.0	115.0	SEM capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
UTM Tracking	Skill	General	51.0	64.0	115.0	UTM Tracking capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
TikTok	Skill	General	51.0	62.0	113.0	TikTok capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Paid Advertising	Skill	Paid Media	76.0	83.0	159.0	Paid Advertising capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Campaign Structure	Skill	Performance Marketing	77.0	92.0	169.0	Campaign Structure capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
LLM Optimization	Skill	Performance Marketing	77.0	91.0	168.0	LLM Optimization capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Demand Gen	Skill	Performance Marketing	76.0	90.0	166.0	Demand Gen capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Campaign QA	Skill	Performance Marketing	76.0	87.0	163.0	Campaign QA capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
SEO/SEM	Skill	SEO	76.0	72.0	148.0	SEO/SEM capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Google Ad Manager	Platform	Ads Platform	76.0	82.0	158.0	Google Ad Manager advertising platform or inventory source relevant to paid media planning and campaign execution.	ADD to All
Google Ads Adjacent	Platform	Ads Platform	76.0	82.0	158.0	Google Ads Adjacent advertising platform or inventory source relevant to paid media planning and campaign execution.	ADD to All
Shopify	Platform	E-commerce Platform	35.0	65.0	100.0	E-commerce platform for online stores, product catalogues, checkout and marketing integrations.	ADD to All
Teletext	Platform	Media	70.0	35.0	105.0	Legacy media system for publishing news, schedules and live sports results.	ADD to All
Salesforce	Tool	Marketing / Analytics Tool	76.0	89.0	165.0	Salesforce tool used in marketing operations, analytics, automation, reporting or sales workflows.	ADD to All
Clay	Tool	Marketing Automation Tool	66.0	92.0	158.0	Clay tool used in marketing operations, analytics, automation, reporting or sales workflows.	ADD to All
Zapier	Tool	Marketing Automation Tool	67.0	96.0	163.0	Zapier tool used in marketing operations, analytics, automation, reporting or sales workflows.	ADD to All
Pipeline Contribution	Metric	B2B Growth Metric	65.0	85.0	150.0	Contribution of campaigns to qualified leads, sales pipeline and downstream revenue opportunities.	ADD to All
LTV	Metric	Customer Value Metric	70.0	80.0	150.0	Lifetime value metric used in acquisition, retention and profitability analysis.	ADD to All
Budget Allocation	Metric	Growth / Performance Metric	76.0	88.0	164.0	Budget Allocation metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
CAC/CPA	Metric	Growth / Performance Metric	76.0	89.0	165.0	CAC/CPA metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
CAC/ROAS	Metric	Growth / Performance Metric	76.0	90.0	166.0	CAC/ROAS metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
Pipeline	Metric	Growth / Performance Metric	79.0	95.0	174.0	Pipeline metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
Revenue Growth	Metric	Growth / Performance Metric	76.0	88.0	164.0	Revenue Growth metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
Revenue Ownership	Metric	Growth / Performance Metric	76.0	90.0	166.0	Revenue Ownership metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	ADD to All
LTV/CAC	Metric	Growth Metric	65.0	80.0	145.0	Ratio between lifetime value and customer acquisition cost used to assess growth efficiency.	ADD to All
AI Apps	Skill	AI / Automation	66.0	92.0	158.0	AI Apps capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
AI Automation	Skill	AI / Automation	66.0	95.0	161.0	AI Automation capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
AI Marketing	Skill	AI / Automation	70.0	100.0	170.0	AI Marketing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
AI Processes	Skill	AI / Automation	66.0	93.0	159.0	AI Processes capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
AI/Data	Skill	AI / Automation	66.0	93.0	159.0	AI/Data capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
GTM Automation	Skill	AI / Automation	66.0	92.0	158.0	GTM Automation capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Account Management	Skill	Account Management	90.0	85.0	175.0	Managing client accounts, communication, expectations, reporting and ongoing delivery.	ADD to All
Client Management	Skill	Account Management	90.0	85.0	175.0	Managing client relationships, communication, expectations, reporting and operational alignment.	ADD to All
Audience Analytics	Skill	Analytics	85.0	80.0	165.0	Analysis of audiences, segments, behaviour, traffic sources and user patterns.	ADD to All
Performance Analysis	Skill	Analytics	95.0	95.0	190.0	Analysis of campaign, channel, funnel, budget, conversion and business performance.	ADD to All
Lead Quality Analysis	Skill	B2B Lead Generation	85.0	95.0	180.0	Analysis of lead quality using CRM data, Google Sheets, conversion signals and sales feedback.	ADD to All
B2B Lead Generation	Skill	B2B Marketing	80.0	90.0	170.0	B2B lead generation through paid search, landing pages, tracking and sales-quality feedback loops.	ADD to All
Revenue Dashboards	Skill	BI / Reporting	85.0	90.0	175.0	Dashboards for revenue, CAC, ROAS, budgets, pipeline, commercial results and performance trends.	ADD to All
CRM Analysis	Skill	CRM / Analytics	75.0	85.0	160.0	Analysis of CRM data to connect campaigns, leads, pipeline and acquisition quality.	ADD to All
Landing Page CRO	Skill	CRO	85.0	90.0	175.0	Landing page analysis and optimization to improve conversion rate and lead or sales quality.	ADD to All
Content Coordination	Skill	Content	75.0	70.0	145.0	Coordinating content planning, editorial tasks, publishing schedules and digital channels.	ADD to All
Tech Blogging	Skill	Content	70.0	65.0	135.0	Writing and editing technology, digital marketing or web-related blog content.	ADD to All
Advertorials	Skill	Creative / Content	61.0	64.0	125.0	Advertorials capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Content	Skill	Creative / Content	61.0	63.0	124.0	Content capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Content Operations	Skill	Creative / Content	61.0	62.0	123.0	Content Operations capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Creative Marketing	Skill	Creative / Content	61.0	62.0	123.0	Creative Marketing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Performance Creative	Skill	Creative / Content	61.0	64.0	125.0	Performance Creative capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
UX Creative	Skill	Creative / Content	61.0	62.0	123.0	UX Creative capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Customer Communication	Skill	Customer Service	80.0	75.0	155.0	Communication with customers, users and communities through digital and direct channels.	ADD to All
Customer Support	Skill	Customer Service	65.0	55.0	120.0	Providing customer support, handling inquiries and resolving operational issues.	ADD to All
Front Desk	Skill	Customer Service	60.0	40.0	100.0	Front desk work, first-contact communication with customers and basic administration.	ADD to All
Data Entry	Skill	Data Operations	70.0	55.0	125.0	Accurate and structured data entry into systems, spreadsheets and databases.	ADD to All
Data Processing	Skill	Data Operations	75.0	80.0	155.0	Processing, cleaning, entering, structuring and preparing data for analysis or reporting.	ADD to All
Information Processing	Skill	Data Operations	75.0	75.0	150.0	Processing, classifying, validating and structuring large volumes of information.	ADD to All
Demand Generation	Skill	Demand Generation	70.0	75.0	145.0	Creating demand through campaigns, content, funnels, tracking and lead or pipeline metrics.	ADD to All
Digital Channels	Skill	Digital Marketing	75.0	75.0	150.0	Managing digital channels such as websites, social media, blogs, email and advertising channels.	ADD to All
E-commerce Lifecycle	Skill	E-commerce / Lifecycle	55.0	70.0	125.0	E-commerce lifecycle work across acquisition, conversion, retention, LTV and automation.	ADD to All
Education	Skill	Education	70.0	65.0	135.0	Educational activities, knowledge transfer, training content and structured learning support.	ADD to All
Lecturing	Skill	Education	70.0	70.0	140.0	Teaching and knowledge sharing through lectures, workshops or structured educational sessions.	ADD to All
Training	Skill	Education	70.0	70.0	140.0	Running trainings, onboarding sessions and educational materials for users, clients or teams.	ADD to All
SONY Service	Skill	Electronics / Service	50.0	30.0	80.0	Experience in an authorized service environment related to Sony products and customer support.	ADD to All
Experimentation	Skill	Experimentation	80.0	85.0	165.0	Planning and running marketing experiments across campaigns, creative, landing pages and funnels.	ADD to All
Accounting	Skill	Finance	60.0	40.0	100.0	Basic accounting and finance-administration activities used in small business operations.	ADD to All
CRM Integration	Skill	General	52.0	66.0	118.0	CRM Integration capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Call Tracking	Skill	General	51.0	64.0	115.0	Call Tracking capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Digital Media	Skill	General	51.0	62.0	113.0	Digital Media capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Digital Performance	Skill	General	51.0	64.0	115.0	Digital Performance capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Global Media Planning	Skill	General	51.0	63.0	114.0	Global Media Planning capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Marketing	Skill	General	51.0	62.0	113.0	Marketing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Marketing Engineering	Skill	General	51.0	62.0	113.0	Marketing Engineering capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
